,month,year,region,id,count,title,rank,date,artist,url
1306,4,2017,Canada,7hDc8b7IXETo14hHIHdnhd,30,Passionfruit,2,2017-04-01,Drake,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
1336,4,2017,Canada,7qiZfU4dY1lWllzX7mPBI3,30,Shape of You,1,2017-04-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
1366,4,2017,Canada,3eR23VReFzcdmS7TYCrhCe,28,It Ain't Me (with Selena Gomez),5,2017-04-01,Kygo,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
1394,4,2017,United Kingdom,0afhq8XCExXpqazXczTSve,30,Galway Girl,1,2017-04-01,Ed Sheeran,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
1424,4,2017,United Kingdom,0dA2Mk56wEzDgegdC6R17g,30,Stay (with Alessia Cara),9,2017-04-01,Zedd,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
1454,4,2017,United Kingdom,1x5sYLZiu9r5E43kMlt9f8,30,Symphony (feat. Zara Larsson),4,2017-04-01,Clean Bandit,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
1484,4,2017,United Kingdom,7hDc8b7IXETo14hHIHdnhd,30,Passionfruit,3,2017-04-01,Drake,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
1514,4,2017,United Kingdom,7qiZfU4dY1lWllzX7mPBI3,30,Shape of You,2,2017-04-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
1544,4,2017,United States,7KXjTSCq5nL1LoYtL7XAwS,30,HUMBLE.,1,2017-04-01,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
1574,4,2017,United States,3rOSwuTsUlJp0Pu0MkN8r8,29,Mask Off,2,2017-04-01,Future,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
1603,4,2017,United States,2eMwDehkIC1j68U6FA3Eiq,26,XO TOUR Llif3,9,2017-04-01,Lil Uzi Vert,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
1629,4,2017,United States,7hDc8b7IXETo14hHIHdnhd,24,Passionfruit,3,2017-04-01,Drake,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
1653,4,2017,United States,2EEeOnHehOozLq4aS0n6SL,23,iSpy (feat. Lil Yachty),5,2017-04-01,KYLE,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
1676,5,2017,Canada,1F2HXIJrE2Xn81OzT2zZvW,29,Unforgettable,8,2017-05-01,"French Montana, Swae Lee",https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
1705,5,2017,Canada,2eMwDehkIC1j68U6FA3Eiq,29,XO TOUR Llif3,9,2017-05-01,Lil Uzi Vert,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
1734,5,2017,Canada,3rOSwuTsUlJp0Pu0MkN8r8,29,Mask Off,5,2017-05-01,Future,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
1763,5,2017,Canada,72Q0FQQo32KJloivv5xge2,29,I'm the One,1,2017-05-01,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
1792,5,2017,Canada,7KXjTSCq5nL1LoYtL7XAwS,29,HUMBLE.,3,2017-05-01,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
1821,5,2017,United Kingdom,1x5sYLZiu9r5E43kMlt9f8,29,Symphony (feat. Zara Larsson),2,2017-05-01,Clean Bandit,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
1850,5,2017,United Kingdom,6kex4EBAj0WHXDKZMEJaaF,29,Swalla (feat. Nicki Minaj & Ty Dolla $ign),7,2017-05-01,Jason Derulo,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
1879,5,2017,United Kingdom,72Q0FQQo32KJloivv5xge2,29,I'm the One,1,2017-05-01,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
1908,5,2017,United Kingdom,79cuOz3SPQTuFrp8WgftAu,29,There's Nothing Holdin' Me Back,9,2017-05-01,Shawn Mendes,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
1937,5,2017,United Kingdom,5CtI0qwDJkDQGwXD1H1cLb,27,Despacito - Remix,6,2017-05-01,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
1964,5,2017,United States,2eMwDehkIC1j68U6FA3Eiq,29,XO TOUR Llif3,6,2017-05-01,Lil Uzi Vert,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
1993,5,2017,United States,3rOSwuTsUlJp0Pu0MkN8r8,29,Mask Off,5,2017-05-01,Future,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
2022,5,2017,United States,6HZILIRieu8S0iqY8kIKhj,29,DNA.,4,2017-05-01,Kendrick Lamar,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
2051,5,2017,United States,72Q0FQQo32KJloivv5xge2,29,I'm the One,2,2017-05-01,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
2080,5,2017,United States,7KXjTSCq5nL1LoYtL7XAwS,29,HUMBLE.,1,2017-05-01,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2109,6,2017,Canada,2eMwDehkIC1j68U6FA3Eiq,29,XO TOUR Llif3,5,2017-06-01,Lil Uzi Vert,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
2138,6,2017,Canada,5CtI0qwDJkDQGwXD1H1cLb,29,Despacito - Remix,1,2017-06-01,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2167,6,2017,Canada,7KXjTSCq5nL1LoYtL7XAwS,29,HUMBLE.,3,2017-06-01,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2196,6,2017,Canada,3DXncPQOG4VBw3QHh3S817,26,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2,2017-06-05,DJ Khaled,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
